,Date,Manner of Death,Armed,Age,Gender,Race,City,State,Signs of Mental Illness,Threat Level,Flee,Body Camera,Longitude,Latitude,Is Geocoding Exact
153,2015-03-01,Shot,Gun,35.0,Male,Asian,Houston,Texas,False,Attack,Not fleeing,False,-95.62200000000001,29.704,True
154,2015-03-01,Shot,Gun,49.0,Male,"White, non-Hispanic",Barton,Mississippi,False,Attack,Not fleeing,False,-88.604,30.789,True
155,2015-03-01,Shot and Tasered,Unarmed,43.0,Male,"Black, non-Hispanic",Los Angeles,California,True,Attack,Not fleeing,True,-118.245,34.043,True
156,2015-03-02,Shot,Gun,20.0,Male,"Black, non-Hispanic",Joilet,Illinois,False,Other,Foot,False,-88.074,41.522,True
157,2015-03-03,Shot,Gun,25.0,Male,"Black, non-Hispanic",Salisbury,Maryland,False,Attack,Not fleeing,False,-75.609,38.38,True
158,2015-03-03,Shot,Knife,25.0,Male,"White, non-Hispanic",Tempe,Arizona,False,Attack,Not fleeing,False,-111.931,33.44,True
159,2015-03-04,Shot,Unarmed,26.0,Male,"White, non-Hispanic",Deltona,Florida,False,Other,Not fleeing,False,-81.25399999999999,28.886999999999997,True
160,2015-03-04,Shot,Gun,28.0,Male,Asian,Stockton,California,False,Attack,Not fleeing,False,-121.286,37.948,True
161,2015-03-05,Shot,Knife,45.0,Male,"Black, non-Hispanic",Milwaukee,Wisconsin,True,Other,Not fleeing,False,-87.904,42.968,True
162,2015-03-05,Shot,Unarmed,36.0,Male,Hispanic,Burbank,California,False,Other,Car,False,-118.345,34.150999999999996,True
163,2015-03-05,Shot,Gun,34.0,Male,"White, non-Hispanic",Lincoln,Nebraska,False,Attack,Not fleeing,False,-96.682,40.875,True
164,2015-03-06,Shot,Unarmed,19.0,Male,"Black, non-Hispanic",Madison,Wisconsin,False,Attack,Foot,False,-89.365,43.083,True
165,2015-03-06,Shot,Unarmed,37.0,Male,"Black, non-Hispanic",Aurora,Colorado,False,,Foot,False,-104.916,39.735,True
166,2015-03-06,Shot,,48.0,Male,"Black, non-Hispanic",Putnam Hall,Florida,False,Other,Not fleeing,False,-81.959,29.743000000000002,True
167,2015-03-07,Shot,Gun,29.0,Male,"White, non-Hispanic",Phoenix,Arizona,False,Attack,Not fleeing,False,-112.04299999999999,33.469,True
168,2015-03-08,Shot,Knife,43.0,Female,"Black, non-Hispanic",Anaheim,California,True,Other,Not fleeing,True,-117.94,33.819,True
169,2015-03-08,Shot,Gun,40.0,Male,Hispanic,Oklahoma City,Oklahoma,False,Attack,Not fleeing,False,-97.583,35.426,True
